Moreno Valley,  199353,  California, -117.21,33.93
San Bernardino,  199314,  California, -117.29,34.14
Richmond,  198179,  Virginia, -77.47,37.53
Huntington Beach,  194227,  California, -118.01,33.69
Grand Rapids,  193337,  Michigan, -85.66,42.96
Columbus,  193007,  Georgia, -84.87,32.51
Little Rock,  192247,  Arkansas, -92.35,34.72
Fontana,  191526,  California, -117.46,34.1
Amarillo,  190449,  Texas, -101.82,35.2
Mobile,  190007,  Alabama, -88.09,30.68
Oxnard,  189413,  California, -119.21,34.2
Knoxville,  187071,  Tennessee, -83.95,35.97
Huntsville,  185501,  Alabama, -86.63,34.71
Salt Lake City,  184856,  Utah, -111.93,40.78
Fort Lauderdale,  184625,  Florida, -80.14,26.14
Brownsville,  183598,  Texas, -97.48,25.93
Newport News,  182057,  Virginia, -76.51,37.08
Tempe,  181658,  Arizona, -111.93,33.39
Fayetteville,  177632,  North Carolina, -78.9,35.07
Aurora,  176710,  Illinois, -88.29,41.77
Rancho Cucamonga,  176424,  California, -117.57,34.12
Overland Park,  176161,  Kansas, -94.68,38.91
Tallahassee,  175438,  Florida, -84.28,30.46
Worcester,  174854,  Massachusetts, -71.81,42.27
Ontario,  174731,  California, -117.61,34.05
Chattanooga,  173001,  Tennessee, -85.26,35.07
Oceanside,  172679,  California, -117.31,33.23
Santa Clarita,  171722,  California, -118.51,34.41
Jackson,  171210,  Mississippi, -90.21,32.32
Providence,  170868,  Rhode Island, -71.42,41.82
Vancouver,  169603,  Washington, -122.64,45.63
Peoria,  168424,  Arizona, -112.24,33.69
Garden Grove,  167800,  California, -117.96,33.78
Grand Prairie,  167767,  Texas, -97.02,32.69
Port Saint Lucie,  163859,  Florida, -80.35,27.28
Cape Coral,  161428,  Florida, -82,26.64
Sioux Falls,  160938,  South Dakota, -96.73,43.54
Santa Rosa,  159730,  California, -122.7,38.45
Rockford,  159109,  Illinois, -89.06,42.27
Springfield,  158605,  Missouri, -93.29,37.2
Salem,  157890,  Oregon, -123.02,44.92
Pomona,  154638,  California, -117.76,34.06
Joliet,  153577,  Illinois, -88.12,41.53
Corona,  152977,  California, -117.57,33.87
Eugene,  152842,  Oregon, -123.11,44.05
Dayton,  151594,  Ohio, -84.2,39.78
Lancaster,  151452,  California, -118.18,34.69
Palmdale,  150264,  California, -118.09,34.61
Springfield,  149926,  Massachusetts, -72.54,42.12
Pasadena,  148101,  Texas, -95.15,29.66
Alexandria,  147786,  Virginia, -77.09,38.82
Hampton,  147560,  Virginia, -76.29,37.05
Pembroke Pines,  146408,  Florida, -80.34,26.01
Naperville,  146177,  Illinois, -88.15,41.76
Cary,  145939,  North Carolina, -78.8,35.78
Salinas,  145628,  California, -121.64,36.68
Hayward,  145517,  California, -122.1,37.63
Paterson,  145162,  New Jersey, -74.16,40.91
Pasadena,  144485,  California, -118.14,34.16
Kansas City,  144431,  Kansas, -94.73,39.12
Lakewood,  142294,  Colorado, -105.11,39.7
Hollywood,  142105,  Florida, -80.16,26.03
Fort Collins,  141921,  Colorado, -105.07,40.56
Metairie,  141919,  Louisiana, -90.18,30
Torrance,  141478,  California, -118.34,33.83
Orange,  141351,  California, -117.82,33.81
Elk Grove,  141026,  California, -121.37,38.4
Escondido,  139583,  California, -117.07,33.14
Bridgeport,  136604,  Connecticut, -73.2,41.19
MacAllen,  136555,  Texas, -98.24,26.22
Syracuse,  136410,  New York, -76.14,43.04
MacKinney,  135935,  Texas, -96.65,33.2
East Los Angeles,  135682,  California, -118.17,34.03
Sunnyvale,  135564,  California, -122.03,37.39
Mesquite,  134509,  Texas, -96.6,32.77
Warren,  133470,  Michigan, -83.03,42.49
Savannah,  133244,  Georgia, -81.13,32.02
Fullerton,  133165,  California, -117.93,33.88
Toms River,  131619,  New Jersey, -74.17,39.94
Cedar Rapids,  130349,  Iowa, -91.67,41.97
Columbia,  130246,  South Carolina, -80.89,34.04
Carrollton,  130013,  Texas, -96.9,32.99
Highlands Ranch,  129817,  Colorado, -104.97,39.55
Bellevue,  128225,  Washington, -122.16,47.6
Visalia,  127444,  California, -119.32,36.33
Denton,  127364,  Texas, -97.13,33.21
Sterling Heights,  127075,  Michigan, -83.03,42.58
Waco,  126878,  Texas, -97.18,31.57
Coral Springs,  125980,  Florida, -80.26,26.27
West Valley City,  125842,  Utah, -112.01,40.69
Elizabeth,  125821,  New Jersey, -74.19,40.67
Killeen,  125411,  Texas, -97.72,31.1
Olathe,  125326,  Kansas, -94.81,38.89
Topeka,  124629,  Kansas, -95.69,39.04
Casas Adobes,  124303,  Arizona, -110.99,32.32
Thousand Oaks,  123875,  California, -118.87,34.19
Hartford,  123579,  Connecticut, -72.68,41.77
New Haven,  123302,  Connecticut, -72.92,41.31
El Monte,  122644,  California, -118.03,34.07
Catalina Foothills,  122588,  Arizona, -110.92,32.3
Concord,  122338,  California, -122,37.97
Simi Valley,  121990,  California, -118.75,34.26
Roseville,  121485,  California, -121.29,38.76
Clarksville,  121429,  Tennessee, -87.35,36.56
Stamford,  121373,  Connecticut, -73.55,41.1
Provo,  120524,  Utah, -111.64,40.25
Thornton,  120487,  Colorado, -104.96,39.89
Round Rock,  120297,  Texas, -97.67,30.52
Abilene,  120183,  Texas, -99.74,32.45
Victorville,  119377,  California, -117.33,34.52
Springfield,  118095,  Illinois, -89.64,39.78
Athens-Clarke,  116864,  Georgia, -83.39,33.95
Gainesville,  116277,  Florida, -82.34,29.67
Evansville,  115666,  Indiana, -87.54,37.98
Charleston,  115017,  South Carolina, -79.99,32.79
Peoria,  114666,  Illinois, -89.61,40.74
Frisco,  114533,  Texas, -96.81,33.14
Vallejo,  114029,  California, -122.26,38.11
Ann Arbor,  113880,  Michigan, -83.73,42.28
Miami Gardens,  113813,  Florida, -80.25,25.94
Lafayette,  113767,  Louisiana, -92.03,30.22
Costa Mesa,  113091,  California, -117.91,33.67
Santa Clara,  112889,  California, -121.97,37.37
Inglewood,  112845,  California, -118.34,33.96
Lansing,  112579,  Michigan, -84.55,42.71
Miramar,  112570,  Florida, -80.33,25.98
Midland,  111357,  Texas, -102.1,32.03
Elgin,  111179,  Illinois, -88.29,42.04
Beaumont,  110900,  Texas, -94.14,30.09
Independence,  110030,  Missouri, -94.35,39.09
Flint,  109751,  Michigan, -83.69,43.02
Norman,  109682,  Oklahoma, -97.34,35.23
Arvada,  109590,  Colorado, -105.11,39.82
Spring Hill,  109452,  Florida, -82.56,28.48
West Jordan,  109385,  Utah, -111.99,40.6
Westminster,  109334,  Colorado, -105.05,39.88
Murfreesboro,  109230,  Tennessee, -86.39,35.85
Lewisville,  108843,  Texas, -96.98,33.04
Manchester,  108643,  New Hampshire, -71.44,42.98
Cambridge,  108135,  Massachusetts, -71.12,42.38
Downey,  107986,  California, -118.13,33.94
Billings,  107973,  Montana, -108.54,45.79
Allentown,  107685,  Pennsylvania, -75.48,40.6
Pueblo,  107496,  Colorado, -104.62,38.27
Waterbury,  107118,  Connecticut, -73.04,41.56
West Covina,  106032,  California, -117.91,34.05
Richardson,  105398,  Texas, -96.71,32.97
San Buenaventura,  105272,  California, -119.26,34.27
High Point,  105064,  North Carolina, -80,35.98
Surprise,  104876,  Arizona, -112.47,33.66
Clearwater,  104782,  Florida, -82.77,27.98
Gresham,  104562,  Oregon, -122.44,45.5
Temecula,  104516,  California, -117.13,33.5
Columbia,  104283,  Missouri, -92.33,38.95
Richmond,  104241,  California, -122.36,37.95
Fairfield,  104184,  California, -122.04,38.25
Lowell,  104063,  Massachusetts, -71.32,42.64
Erie,  103895,  Pennsylvania, -80.09,42.13
Rochester,  103763,  Minnesota, -92.48,44.01
Burbank,  103686,  California, -118.33,34.19
Daly City,  103502,  California, -122.47,37.69
Palm Bay,  103460,  Florida, -80.66,27.99
South Bend,  103173,  Indiana, -86.27,41.68
